Sash! - Ecuador,https://www.youtube.com/watch?v=9cQlVww0zKo,5,Tove klokken 8
Kaj og Andrea - Hoppe nat,https://www.youtube.com/watch?v=DncmNxELpyw,27,Hoppe nat
Coldplay - Adventure of a lifetime,https://www.youtube.com/watch?v=QtXby3twMmI,81,Pisser i forlystelser
Vanessa Carlton - A Thousand Miles,https://www.youtube.com/watch?v=Cwkej79U3ek,20,Tker ekstra løn
Twisted Sister - We're not gonna take it,https://www.youtube.com/watch?v=4xmckWVPRaI,55,Vikingen Valhalla
Subway surfers - main theme,https://www.youtube.com/watch?v=PJpA7YoGBlc,0,Jeg skal være Stiv
Jeg er en gamer,https://www.youtube.com/watch?v=WYjMRJOOU2k,0,Legoland discord 
Empire of the sun - Walking on a dream,https://www.youtube.com/watch?v=eimgRedLkkU,15,Kantine ris
Anders mattesen - arne han er cool,https://www.youtube.com/watch?v=5Nu207iaa2I,17,Alex er for cool
Kidd - uhh det svært at være så god,https://www.youtube.com/watch?v=w6NN1cinfrM,0,Kiiiiiid jeg elsker dig
Lamin & Gilli - hva du på,https://www.youtube.com/watch?v=mZTHsDwmbPQ,14,Kaffepause spiller
Lynyrd skynyrd - free bird remix,https://soundcloud.com/rafael_rodriguezalvarez/lynyrd-skynyrd-free-bird-the-raggaphones-remix-ft-the-raggatwins-m,102,Sky battle store patter
Søren Poul - Numser alle steder,https://soundcloud.com/nikolaj-nancke-thordsen/numser-alle-steder,20,Pauseafløser på 16 dage
Fire flies - you would not believe your eyes,https://www.youtube.com/watch?v=JXDrliqTQ5g,20,Næste sang er en god sang
Shorty mashups - staying shorty,https://soundcloud.com/heyshortymashups2/stayin-shorty,0,Ninjago klistermærker
Major Lazer - cold water,https://www.youtube.com/watch?v=nBtDsQ4fhXY,21,Morgenvask jungle
Rune RK & Stanley most - kom kom,https://www.youtube.com/watch?v=F2EfLfUuTsA,6,Ansatte forsvinder i sæsonen
Rihanna - dont stop the music,https://www.youtube.com/watch?v=OfWIGJpOih8,77,Teenage bangers (51)
Topgunn - Kongens have,https://www.youtube.com/watch?v=endzf4013qc,18,Bunde en øl med mig
Gilli - kolde nætter,https://www.youtube.com/watch?v=8VloiH4ywUU,14,Burde polar kører koldt
Tessa - Ben Remix,https://soundcloud.com/christianoganders/tessa-ben-christian-anders-remix,0,Elsker at være en boos bitch
Nelly - Hot in here,https://www.youtube.com/watch?v=GeZZr_p6vB8,14,Tobias Rahmin musakka
Katy parry - California gurls,https://www.youtube.com/watch?v=F57P9C4SAW4,6,Vinbong god bong
Rihanna - we found love,https://www.youtube.com/watch?v=tg00YEETFzg,88,Tik tok Demure
Gulddreng - model,https://www.youtube.com/watch?v=BKqavfM5Q2Y,47,Søde piger i f og b
Harry Styles - watermelon sugar,https://www.youtube.com/watch?v=E07s5ZYygMg,89,Stig homoseksuel
Backstreet boys - everybody,https://www.youtube.com/watch?v=6M6samPEMpM,112,Skud ud til steffens boyband
Suspekt - Kinky fætter HEDEGAARD REMIX,https://soundcloud.com/alslev/suspekt-kinky-faetter-hedegaard-remix,0,Skud ud til Mr Stig
KESI - blå himmel,https://www.youtube.com/watch?v=4DP2jNfRGzE,56,Disp Tid
Pitbull - fire ball,https://www.youtube.com/watch?v=HMqgVXSvwGo,29,Fire børn
Medina - kun for mig,https://www.youtube.com/watch?v=PuprY5yigAw,34,Fri bar til 80 kr store patter
Thomas - jeg en gamer,https://www.youtube.com/watch?v=WYjMRJOOU2k,6,Gamer Shout out
MDMarius - Morgendak,https://www.youtube.com/watch?v=1uSlqRsjdLw,0,Godmorgen til morgenbreif
Blæst - juice,https://www.youtube.com/watch?v=HACC_0TTuG4,0,Gratis Kaffe og Langbord
Ukendt kunstner - uden dig,https://www.youtube.com/watch?v=OUxYRreondw,23,Hva sku jeg gøre uden lukkefest
Razz - kickflipper,https://www.youtube.com/watch?v=HK0xyJbuVYM,14,Hvide par
PUFF DEN MAGISKE DRAGE REMIX,https://www.youtube.com/watch?v=yixr9tqLFWc,5,Jacob Brunn dragesæd
Nik og Jay - Endnu en,https://www.youtube.com/watch?v=AwEc8KiMOtc,38,Skål (3)
Sømændende - drik,https://www.youtube.com/watch?v=U0cIIbK71_o,0,Jeg gider ik åbne en øl mere
LOC - momentet,https://www.youtube.com/watch?v=ZzLXL0MyvSc,0,klub 100 sop manual
Lamin - gode dage gode drinks,https://www.youtube.com/watch?v=mO85AjfGVUs,25,Kunstner Lukkefest
Pitbull - time of our lives,https://www.youtube.com/watch?v=FUak2C_KEeU,0,Lars nielsen som dj
Alok - Deep down,https://www.youtube.com/watch?v=WJvtX-Ec1S8,0,Legoland Kageklub
Carl Douglas Kung Fu Fighting,https://www.youtube.com/watch?v=bmfudW7rbG0,27,Masters Wu
Shane McMahon - Here Comes The Money,https://www.youtube.com/watch?v=HMuYfScGpbE,0,Merlin business model
Stop stop,https://www.youtube.com/watch?v=5WXL328nlAU,80,Td Sure nødstop
Miley cyrus - wrecking ball,https://www.youtube.com/watch?v=My2FRPA3Gf8,1,Skud ud til staterne 
Artigeardit - Kom Af Sig Selv (Christian & Anders Remix),https://soundcloud.com/christianoganders/artigeardit-kom-af-sig-selv-christian-anders-remix,41,"jeg har lige spillet pik, så jeg kom af mig selv"
De modigste helte fra byen,https://www.youtube.com/watch?v=v-fR_8VcWmA&ab_channel=MIXERPULT,7,Du har ikke engang niveau til silkeborg
Kato - hey shorty pt II,https://www.youtube.com/watch?v=8p8qT-DmWOA,123,Open the gates
OUTRO FÆRDIG,,,
