Jutlandia,https://www.youtube.com/watch?v=Kf621PhpikI,14,Det var i nittenniofyrre eller cirka der omkring
Living on a prayer,https://www.youtube.com/watch?v=ohFtQIPqGSo,64,Skål for at vi er halfway there
Helt sikker,https://www.youtube.com/watch?v=UxsFivVlU30,92,Skud ud til at Danmark vinder EM
Love story,https://www.youtube.com/watch?v=8xg3vE8Ie_E,101,Skud ud til Frederik Ole der skal giftes
Jeg har en pige,https://www.youtube.com/watch?v=cCy67JQrZiA,0,Skud ud til at Viktor skal flytte sammen med viktors kæreste
Stable,https://www.youtube.com/watch?v=04c4juj2XvQ,0,Skud ud til at drukne i laksefarvede
Alkymia,https://www.youtube.com/watch?v=sy23SWrSkI0,23,Skud ud til alkymia for at have lavet den bedste kap sang
Jeg har taget doping,https://www.youtube.com/watch?v=Ag5Plg1IDOk,44,"skud ud til at hedde rolf, det kan man fandeme ikke hedde"
Crank dat Toxic,https://soundcloud.com/alucph/crank-dat-toxic,0,Skål for Ole der dukker op til bpdvenderjulefrokost i suit 
De modigste helt fra byen,https://www.youtube.com/watch?v=v-fR_8VcWmA,0,Skud ud til agf der vinder pokalfinalen 
Hvor skal vi sove i nat,https://www.youtube.com/watch?v=DiSKjiAP6Kw,0,Skud ud til den fra 2 semester som skal have jens sovende på gulvet i aften
Five hours,https://www.youtube.com/watch?v=K_yBUfMGvzc,30,Skud ud til at vi er en time inde
September (Congratulations),https://www.youtube.com/watch?v=fzRrPJZ1u3g,0,Skud ud til at det ikke er september
Hey shorty(september,https://soundcloud.com/heyshortymashups/earth-wind-shorty-september-hey-shorty-remix,0,Skud ud til at i lige får originalen
Jeg en gamer,https://www.youtube.com/watch?v=WYjMRJOOU2k,0,skud ud til at game(Jeg en gamer)
No air,https://www.youtube.com/watch?v=WBKnpyoFEBo,30,Skud ud til udluftningingen i bøffen
pump it,https://www.youtube.com/watch?v=aGj-tt1FeHQ,0,Skud ud til stautzez sommerbundesang
Uden forsvar,https://www.youtube.com/watch?v=t2iR-adn3sA,42,Skud ud til  Nikolaj Jakobsen og Marie Key
Kald det kærlighed,https://www.youtube.com/watch?v=3DLUVPZqV58,0,Skud ud til Emilie der stadig ikke kan hakke en bajer
Peter møller drømmemål remix,https://www.youtube.com/watch?v=9jrWthXlEp8,0,Skud ud til vinderne af syvmandsturneringen på idræt
Tulips,https://www.youtube.com/watch?v=SRPyfWMKEvg,12,"skud ud til slikke pik og fisse, vi er nu på 69"
Drunk in the morning,https://www.youtube.com/watch?v=CWoT1OiYlZw,52,Skud ud til at være stiv om morgenen
never gonna give you up,https://www.youtube.com/watch?v=dQw4w9WgXcQ,20,skud ud til alle de orblinde
Will griggs on fire,https://www.youtube.com/watch?v=4Z_XyGD4tEM,0,Skud ud til alle dem der hakker bajer i dag
Op a,https://www.youtube.com/watch?v=uh80Ytajja4,7,skud ud til hvor det senere stikker hen (op a)
Flute,https://www.youtube.com/watch?v=5-oU2m42Dys,0,Skud ud til alle der kan spille på fløjte(flute)
Smack That,https://www.youtube.com/watch?v=bKDdT_nyP54,37,Skud ud til dj niller for altid at slå til
Funkytown,https://www.youtube.com/watch?v=tpsD4HmpuR8,63,Skud ud til alle der kan spille violin(funkytown)
Walk it talk it,https://soundcloud.com/aniellemming/migos-walk-it-talk-it-ft-drake-darkzy-remix-1,50,Skud ud til alle der smider en led luftguitar
sort d lénfer,https://www.youtube.com/watch?v=0eBAMxeemwg,86,Skud ud til alle der ikke kan spille harmonika( sort d lenfer)
The final countdown,https://www.youtube.com/watch?v=9jK-NcRmVcw,13,Skud ud til at der kun er 10 tilbage
Når tiden går baglæns,https://www.youtube.com/watch?v=HvucHgwjMFQ,127,Jokes der er 20 tilbage
Ski twist,https://www.youtube.com/watch?v=zBbc67AQkLk&t=49s,0,Skud ud til alle dem der skal med på idræts skitur næste år (ski-twist)
du ikke som de andre piger,https://www.youtube.com/watch?v=x5PSFwfTt9Y,30,skud ud til alle dem der ikke er som de andre piger ( EMIL HØJBJERG))(du ik som de andre pir - morten fillipsen (0:34)
Stor mand,https://www.youtube.com/watch?v=HfmWPfqyYyY,0,skud ud til at ligne Tobias Rahim
Lys i din lejlighed,https://www.youtube.com/watch?v=6Ypv84rebRc,166,skud ud til at det er fucking lyst i dag( lys i din lejlighed)
nemt encore,https://www.youtube.com/watch?v=at5OoNOp9FI,16,Skud ud til at træne bar kas i bøffen
Tak for sidst,https://www.youtube.com/watch?v=34AWO29WoIU,0,"Skud ud til at tage det roligt, det først i morgen vi får hovedpine"
Jeg tænker på dig,https://soundcloud.com/marvelous-mosell/taenker-pa-dig,8,Skud ud til Viktor Søndergård for at mixe hele den her klub 100(Futtemand)
Red Ryders,https://www.youtube.com/watch?v=qVd0ZfAxm8g,0,skud ud til alle der er klar til at vaske gulvet med Moet
Champion pt 2,https://www.youtube.com/watch?v=PMpxGg2QlO8,10,Skud ud til Joachim Kroun for altid at smide BM i toppen af hans liste
kun for mig,https://www.youtube.com/watch?v=PuprY5yigAw,35,Skud ud til at der kun er 10 tilbage!!
smid dit tøj,https://www.youtube.com/watch?v=z5BCbpiDvRU,18,Skud ud til at smide sit tøj
captain Jack,https://www.youtube.com/watch?v=0Bb_w7nOBwg,0,Skud ud til at klæde sig ud som pirat(captain Jack)
Headlines,https://www.youtube.com/watch?v=cimoNqiulUE,5,Skud ud til viktor weilert for at kunne undervise i alt bortset fra Yoga
Call me maybe,https://www.youtube.com/watch?v=fWNaR-rxAic,0,Skud ud til alle der finder telefonen frem og bootycaller senere
Gangnam style,https://www.youtube.com/watch?v=9bZkp7q19f0,46,skud ud til at være helt bøjet
10 år,https://www.youtube.com/watch?v=d-w0Jh7sLNw,20,Skud ud til at discosnave
unwritten,https://www.youtube.com/watch?v=vRQb_-mRcAc,166,Skud ud til ikke at kunne huske en skid af hvad der sker fra nu af
Roses are red,https://www.youtube.com/watch?v=LrgCGtMFeyU,5,hvad rimer på saksparksmål?
sol over københavn,https://www.youtube.com/watch?v=Vthc-td8GO4,0,Skud ud til at det snart er sommer
levels butterfly effect,https://www.youtube.com/watch?v=j-gTox4O20k,0,Skud ud til at vi brænder hele uniparken af om lidt. Velkommen til klub 100 klub 10
