"Earth, Wind & Shorty - September Hey Shorty MASHUP",https://soundcloud.com/heyshortymashups/earth-wind-shorty-september-hey-shorty-remix,0,Hvad man siger - [General intro] - ,Kommentarer - ,Shoutout?,Vurdering,Gammel lyd
Pokemon Intro (Dansk),https://www.youtube.com/watch?v=y9ongoen_oQ&ab_channel=Melekh,5,Skud ud til kønssygdomme. Håber i fanger dem alle.,Benneboe,x,,
Isa´s Stepz Supernova Superstar,https://www.youtube.com/watch?v=cWB7WB-swYo&ab_channel=AssMac0,30,GUCCI OG ChihuahuaChihuahuaChihuahuaChihuahuaChihuahua,Emil,x,,
Sea Shanty 2,https://www.youtube.com/watch?v=bfcZacwnVCk&ab_channel=OSRSBeatz,0,Skud ud til Runescape og intet liv,Lasse,x,,
Gulddreng - Den (u)officielle VM-sang,https://www.youtube.com/watch?v=UdFFv4MKKbw&ab_channel=GulddrengVEVO,5,"Skud ud til alle dem der døde, så vi kunne spille VM i Qatar",Viktor,x,,
hell yeah rev theory,https://www.youtube.com/watch?v=7LuSP4QaXiQ,43,Skud ud til dengang vi alle begynde til amerikansk college fodbold,Emil,x,,
The weeknd i feel it coming,https://www.youtube.com/watch?v=iIWoYaJRryw,19,"Opkasten er på vej, i feel it comming.",Lasse,x,,
Currywurst und pommes,https://www.youtube.com/watch?v=UJ-AmUkjFPY,0,tyskernes mad har aldrig fejlet noget,kresten,x,,
Se Venedig og døøøøøøøø' - et rivejern remix,https://www.youtube.com/watch?v=fW8U3rIkO0k&ab_channel=DRP3,79,Alle skal døøø,Emil,x,,
"Natasja, Tessa, Karen Mukupa - Til Banken",https://www.youtube.com/watch?v=8QnvLRqFPPQ&ab_channel=TessaVEVO,0,Husk sikkerhedsselen!,Benneboe,x,,
Blæst,https://www.youtube.com/watch?v=HACC_0TTuG4&ab_channel=Bl%C3%A6st-Topic,0,"Juice, smager bedst efter 6 dage på Roskilde",Viktor,x,,
50 Cent - In Da Club ,https://www.youtube.com/watch?v=5qm8PH4xAss&ab_channel=50CentVEVO,0,Skud ud til at blive skudt 9 gange,Seb,x,,
Cascada - Everytime We Touch,https://www.youtube.com/watch?v=4G6QDNC4jPs&ab_channel=SteveAATW,5,Teenage bangers,Viktor,x,,
står i hjørnet på apo,https://soundcloud.com/claesjensen/star-i-hjornet-pa-apo,17,det er mig der er den rigtige vinder af branchen,claes,x,,
Kan vi bare knep uden at snakke,https://soundcloud.com/layskapace/kan-vi-bar-knep-uden-at-snak,0,Claes sagde lort,Skuffe i sengen,x,,
Futtemanden,https://www.youtube.com/watch?v=xJWFHN2rQlU&ab_channel=FUTIngeni%C3%B8rernesFestudvalg,90,Wuhu futtemanden,Giz,x,,
Nephew Feat. LOC - Hospital,https://www.youtube.com/watch?v=tvMESh_f4L8&ab_channel=CopenhagenRecords,0,Flot pik,Benneboe,x,,
"Fireflies except the only words are ""You would not believe your eyes""",https://www.youtube.com/watch?v=JXDrliqTQ5g&ab_channel=Flear,10,Du vil ikke tro dine øjne når du hører den næste dårlige sang,Viktor,x,,
Tessa - Ben,https://soundcloud.com/takaladk/tessa-ben-takala-remix,15,Tessa kom ned i mit telt og se mit tredje ben? Glæd jer til Tessa næste single Arm der efterfulgte hendes banger Hoved,Benneboe,x,,
Artigeardit - Kom Af Sig Selv (Christian & Anders Remix),https://soundcloud.com/christianoganders/artigeardit-kom-af-sig-selv-christian-anders-remix,41,"jeg har lige spillet pik, så jeg kom af mig selv",claes,x,,
Love Tonight,https://www.youtube.com/watch?v=nUswm3u6K8g,60,vinbong to night,viktor,x,,
Sminkedukke,https://www.youtube.com/watch?v=lp3SHXoIwBM&ab_channel=MJxProd,0,skud ud til folk med endagsbillet,Viktor,x,,
Farruko - Pepas (Official Video),https://www.youtube.com/watch?v=y8trd3gjJt0&ab_channel=FARRUKOVEVO,30,Claes synger med,Claes,x,,
Gabrielle - 5 fine frøkner,https://www.youtube.com/watch?v=aAzRGZqo8AY&ab_channel=GabrielleOnVEVO,120,Skud ud til 5 umiddelbart fine frøkner,Viktor,x,,
MCQUEEN,https://www.youtube.com/watch?v=TqA3Fu3_NDA,6,Kunne godt lige bruge noget kebab rap,Viktor,x,,
kongen af danmark,https://www.youtube.com/watch?v=K7THn_YWEmY,80,"det kan godt være uafgjort kan få dig ud af gruppespillet, men ikke igennem knockout",claes,x,,
De modigste helte fra byen,https://www.youtube.com/watch?v=v-fR_8VcWmA&ab_channel=MIXERPULT,7,i har ikke engang niveau til silkeborg,claes,x,,
MEGA TISSEMAND,https://soundcloud.com/claesjensen/mega-tissemand-x-ekstrabladet-dak,124,Efter klub 100 er der autografer. Hilsen megatissemand,MT,x,,
forelsket i min bold,https://www.youtube.com/watch?v=bYdm3Aefe8A,25,viktor finder på noget,????,x,,
Lærke - Vi Skal Ikke Være Kærester (Dak Remix),https://soundcloud.com/hafnia-prod/laerke-vi-skal-ikke-vaere-kaerester-dak-remix,0,øh angiveligt,benneboe,x,,
Hentai,https://on.soundcloud.com/kgRSaCNdfp4hnytn6,36,kolde bade se patter,viktor,x,,
The Fray - How To Save A Life (Jiggers Remix),https://www.youtube.com/watch?v=kp8v--tkqVA&ab_channel=ChemicalEnergyMusic,60,Taget tops med,løg,x,,
Red Flags (Remix),https://www.youtube.com/watch?v=4gP-I-KAdxU&ab_channel=Balken-Topic,40,Hvis du drikker harboe eller er lærer,claes,x,,
ryst din røv som en strip klub lays kapace,https://www.youtube.com/watch?v=HAi1otT6Z3Y,0,skud ud til at groupies og trekanter,claes,x,,
BAR DER BONG,https://soundcloud.com/claesjensen/bar-der-bong,127,???,????,?,,
skæg med tal drill remix,https://soundcloud.com/never-sick-rask/skaeg-med-tal-drill-remix,5,rabadubdubdubdudauduabrurrr,Barbarararar,x,,
Hey shorty danny rush remix(Velkommen til Sprinten),https://soundcloud.com/dannyrush/hey-shorty-danny-rush-remix?si=faf1d75114bc427bb7165617d6c0cd11&utm_source=clipboard&utm_medium=text&utm_campaign=social_sharing,62,Velkommen til sprinten,benneboe,x,,
WasaBae,https://soundcloud.com/user-106210045/darwich-wasabae?si=7dfaa175ee1e46ecb119804781ff0c99&utm_source=clipboard&utm_medium=text&utm_campaign=social_sharing,37,Intent problem med alkohol,Mads,x,,
drøm mig væk tekno,https://soundcloud.com/user-659189549/sandstorm-vs-drom-mig-vaek-sk?si=76f84a2fe4af46ab982c15b468092287&utm_source=clipboard&utm_medium=text&utm_campaign=social_sharing,70,Mere lyd mere røg!,Benneboe,x,,
coconut mall remix,https://soundcloud.com/videogameremixes/mario-kart-wii-coconut-mall-remix?si=a8a89e5db4504d259b29183a45b5b040&utm_source=clipboard&utm_medium=text&utm_campaign=social_sharing,116,Sjovt shout #3,,,,
Ratata smadre remix,https://soundcloud.com/backjarry/back-jarry-ratata-free-download,0,Sjovt shout #4,,,,
Angry birds hardstyle,https://soundcloud.com/yosuf-naimee/angry-birds-theme-yosuf-bootleg?si=9fe8b64e38ec4e0cb11ed64d1a502f7c&utm_source=clipboard&utm_medium=text&utm_campaign=social_sharing,45,Sjovt shout #5,,,,
Baddadan techno remix,https://soundcloud.com/user-64356437/chase-status-bou-baddadan-enfor-remix-hard-techno-rave-drumn-bass-audio-hq-1?si=fdfdd4861a674a4ab51d3322ac9df5c2&utm_source=clipboard&utm_medium=text&utm_campaign=social_sharing,0,Sjovt shout #6,,,,
CGVE - Crazy (remix),https://soundcloud.com/dffrntrcrds/dr265?si=764f5fe7a4c34a558440aabde1165010&utm_source=clipboard&utm_medium=text&utm_campaign=social_sharing,58,Er vi ved at være der??,Peter og Esben,x,,
Laeko - Far too long,https://soundcloud.com/laekomusic/laeko-far-too-long?si=85e7ffbfb5b8492f827afb2f8d599d6a&utm_source=clipboard&utm_medium=text&utm_campaign=social_sharing,30,Sjovt shout #8,,,,
Baddadan Bass House remix,https://soundcloud.com/tantronmusic/baddadan-tantron-bootleg-free-download?si=c7507eb8fd274e18af3e58b0d32532ee&utm_source=clipboard&utm_medium=text&utm_campaign=social_sharing,54,Sjovt shout #9,,,,
Voodoo people mr machine,https://www.youtube.com/watch?v=_1pBmDqgviI,184,Sjovt shout #10,,,,
In the city basstripper,https://www.youtube.com/watch?v=pu-I1qlsiXg,64,Sjovt shout #11,,,,
Flow - Hayve,https://www.youtube.com/watch?v=kl2ALaTwNkY,43,Sjovt shout #12,,,,
Paris - Dirty Palm,https://www.youtube.com/watch?v=ZP1YLUEktlU,43,Sjovt shout #13,,,,
RAVE - TV NOISE,https://www.youtube.com/watch?v=7W-8CEyCjLA,29,Sjovt shout #14,,,,
Money for nothing techno (bund ovenpå sprintet),https://soundcloud.com/jessebloch/moneyfornothingjesseblochremix,5,Sprinten er slut nu er det tid til penge for ingenting,,,,
formula 06,https://www.youtube.com/watch?v=MhICkgc7Scw,0,"verstappen, lålå plejemøjet",peter falktoft,x,,
Guitar Hero 3 Through the Fire and Flames,https://www.youtube.com/watch?v=WMkjmiVo6jA,0,Skud til at riffe den af på sin plastik guitar,Benneboe,x,,
errudumellerhvad remix,https://soundcloud.com/yojohnnymusic/errudumellahvad-yo-johnny-bootleg-leak?si=85c2bf1600294a728b6e3b00f73447e7&utm_source=clipboard&utm_medium=text&utm_campaign=social_sharing,12,"jeg har lige fået 14 genstande, slap af",esben bjerre,x,,
Genre Police,https://www.youtube.com/watch?v=6nMvk4l0x-8&ab_channel=TunesUnited,20,,,,,
Brækket dig i busken,https://www.youtube.com/watch?v=reP_B2n7ecI&ab_channel=ADHD-Topic,0,Jeg er rasmus benneboe,Benneboe,x,,
Avici Levels,https://www.youtube.com/watch?v=_ovdm2yX4MA&ab_channel=AviciiOfficialVEVO,5,Velkommen til næste level... Himlen!,Cleas,x,,
COTTON EYE JOE (Torbens Remix),https://soundcloud.com/tramperentorben/cotton-eye-joe-torbens-remix,0,Skud ud til Tramper Torben,Benneboe,x,,
Tevvez - Legend Ψ,https://www.youtube.com/watch?v=5OZ-JOSWx1Q&ab_channel=Tevvez,55,BAPBAPBADABAPBAPBABAP,Claes,x,,
Morgendak - Feat. Stofbangebois,https://soundcloud.com/mdmarius/morgendak-feat-stofbangebois,120,Jeg elsker norddamer,Valdemar er valderar,x,,
D-Devils - 6th Gate,https://www.youtube.com/watch?v=2JVNNRmxupo&ab_channel=xope87,104,SKÅL AND OPEN THE GATES!,Viktor,x,,
DET FUCKING SEJT AT DRIKKE,https://www.youtube.com/watch?v=yOo03YCUs70&ab_channel=ClaesJensen,5,Slut shoutout,Claes,x,,
