"Earth, Wind & Shorty - September Hey Shorty MASHUP",https://soundcloud.com/heyshortymashups/earth-wind-shorty-september-hey-shorty-remix,0,Hvad man siger - [General intro] - ,Kommentarer - ,Done - x
Han får for lidt,https://www.youtube.com/watch?v=fcXtL8oR4R4&ab_channel=%C3%98stkystHustlers-Topic,147,Nyvang boller ikke. Nyvang boller ikke. Skud ud til Nyvang,Lucas og Mads ordner den,x
Shakira hips dont lie,https://www.youtube.com/watch?v=rONPuz9xMdo,10,Skud ud til hofterne,Becker,x
Michael Jackson bad,https://www.youtube.com/watch?v=dsUXAEzaC3Q&ab_channel=michaeljacksonVEVO,28,Skud ud til børnene.,Lasse,x
Taylor Swift - Love story,https://www.youtube.com/watch?v=8xg3vE8Ie_E&ab_channel=TaylorSwiftVEVO,16,Bare kald mig Romeo,,
Troy - Bet on it (High School Musical),https://www.youtube.com/watch?v=k-t4vqd534Y&ab_channel=DisneyMusicVEVO,3,Mads hvordan dør man bedst,"Mads,Lucas",x
Private - My Secret Lover,https://www.youtube.com/watch?v=UadiCPaVHUU,17,Skud ud til klasse incest,Becker,x
Boten Anna,https://www.youtube.com/watch?v=RYQUsp-jxDQ&ab_channel=ExtensiveMusicUnderground,0,Skud ud til alle der troede basshunter sang om en båd,Lasse,x
Luftens Helte,https://www.youtube.com/watch?v=ZfJQ4BQ37Ls&ab_channel=reklamomand,0,JEG ELSKER DISNEY,Viktor,x
Kim Possible. Dansk,https://www.youtube.com/watch?v=GYIzCcCJNlQ,0,Kan vi skåle? Ja! Det er Kim muligt?,Viktor/Claes,x
Stor Mand,https://www.youtube.com/watch?v=HfmWPfqyYyY,0,Kun den største mand kan sammenligne sig selv med Jesus og samtidig drømme om at være en luder i Dubai,FREJA,x
Isa´s Stepz Supernova Superstar,https://www.youtube.com/watch?v=cWB7WB-swYo&ab_channel=AssMac0,30,Hvem fuck har valgt den her sang?,Lasse,x
Sea Shanty 2,https://www.youtube.com/watch?v=bfcZacwnVCk&ab_channel=OSRSBeatz,0,Skud ud til Runescape og intet liv,Lasse,x
Skulder Ved Skulder – Danmarks officielle fodboldsang,https://www.youtube.com/watch?v=xHoqqJgx5Xg&ab_channel=CarlsbergDenmark,48,"Skud ud til alle dem der døde, så vi kunne spille VM i Qatar",Viktor,x
The weeknd i feel it coming,https://www.youtube.com/watch?v=iIWoYaJRryw,19,"Opkasten er på vej, i feel it comming.",Lasse,x
NAVID - Rum Bum Bum,https://www.youtube.com/watch?v=zZAGDWVgCBU&ab_channel=NavidVEVO,60,Prøv lige at hør her er glad for alkohol,Mads,x
Se Venedig og døøøøøøøø' - et rivejern remix,https://www.youtube.com/watch?v=fW8U3rIkO0k&ab_channel=DRP3,79,Fransk hotdog er blevet dyr,Lucas,x
KIDD bedre FT Don Stefano,https://www.youtube.com/watch?reload=9&v=u_2nGcbjtbs&ab_channel=Emilsommer,10,"Elsker medister, hader Herning",Lucas,x
